# Hosts are arranged in preferred connection order to find active hosts
#
# Network - the network the host is in
# Sleep - yes if we should try and put this computer to sleep 
# Backup - backup the host
# Mobile - the host is mobile and can access more than one physical network
# Install - host contains program installation files (in \\<host>\Shared Documents\data\install or \\<host>\Public\documents\data\install)
# Virtual - host is a virtual machine
# platform - win (default), mac, or linux
# port - check if the host is available using the specified port, if not specified, ping is used
# wake - the host will wake up automatically upon network activity
# ips - list host of IP addresses, preferred first (LAN, WLAN, etc)
# macs - list host of MAC addresses, preferred first (LAN, WLAN, etc)
# Host      		Network	Slp Bck Mbl InstVir	Plat	Pt	Wk	Ips						Macs

# Wiggin
nas							Wiggin 	no 	no	no  yes no	linux	-		yes	192.168.1.3		00113217a755
oversoul				Wiggin 	yes yes no  yes no	win		135	yes	192.168.1.2		00224D50C788
ender						Wiggin 	yes no	no  no  no 	mac		- 	no	192.168.1.4		c42c032548bd  
MiniMe					Wiggin 	yes yes yes no	no 	win		-		no	192.168.1.26	843A4B0AD630
MiniMeW					Wiggin 	yes yes yes no	no 	win		-		no	192.168.1.26	24FD52BC691C
dune						Wiggin 	yes yes yes yes no 	win		-		no	192.168.1.21	001A4D4CDC8C
shadow					Wiggin 	yes yes no  no  no 	win		-		no	192.168.1.5		001a4d53b90b  
win7						Wiggin 	yes yes no  no  yes	win		-		no	-							-
ws08						Wiggin 	yes yes no  no  yes	win		-		no	192.168.1.10	-
ubuntu					Wiggin 	no  no  no  no  yes	linux	-		no	192.168.1.11	-

# Intel
jjbutare-mobl		Intel		yes yes yes no  no 	win		135	no	192.168.1.8		2C768ADBBE76
jjbutare-moblw	Intel		yes yes yes no  no 	win		135	no	192.168.1.7		0811966DA928
jjbutare-mobl7	Intel		yes yes yes no  no 	win		135	no	192.168.1.200 2C768ADBBE77
jjbutare-mobl7w	Intel		yes yes yes no  no 	win		135	no	192.168.1.201	843A4B0AD630
jjbutare-mobl9	Intel		yes yes yes no  no 	win		-		no	-							-
VMSDCUD7013			Intel		no  no  no  no  yes	win		-		no	10.19.250.63	-
