# GSpot Codec Database for GSpot v2.7
# rev 2.7   Feb 18, 2007
#
[video codecs]
____	|No Codec	NA	-
1978	A.M.Paredes predictor (LossLess)	-	-
_BIT	BI_BITFIELDS (Raw RGB)	* No codec needed	-
_JPG	BI_JPEG JPEG compressed	Joint Photo Experts Group	-
_PNG	BI_PNG PNG compressed	W3C/ISO/IEC (RFC-2083)	-
_RAW	Full Frames (Uncompressed)	N.A.	-
_RGB	BI_RGB Raw Bitmap	* No codec needed	-
_RL4	BI_RLE4 (RLE 4bpp RGB)	* No codec needed	-
_RL8	BI_RLE8 (RLE 8bpp RGB)	* No codec needed	-
2VUY	Optibase VideoPump 8-bit 4:2:2 Component Y'CbCr	-	-
3IV0	MPEG4-based codec 3ivx	-	-
3IV1	3ivx (MPEG4-based)	3ivx	http://www.3ivx.com
3IV2	3ivx (MPEG4-based)	3ivx	http://www.3ivx.com
3IVD	3ivx DivX Doctored	3ivx	http://www.3ivx.com
3IVX	3ivx (MPEG4-based)	3ivx	http://www.3ivx.com
3VID	3ivx (MPEG4-based)	3ivx	http://www.3ivx.com
8BPS	Planar RGB w/alpha	Apple	http://www.apple.com
AAS4	Autodesk Animator codec (RLE)	Autodesk	http://www.autodesk.com/
AASC	Autodesk Animator codec	Autodesk	http://www.autodesk.com/
ABYR	Kensington ?	Kensington	-
ACTL	Streambox ACT-L2	-	-
ADV1	Loronix WaveCodec (used in various CCTV products)	-	-
ADVJ	Avid M-JPEG Avid Technology Also known as AVRn	Avid Technology, Inc	http://www.avid.com/
AEIK	Intel Indeo Video 3.2 (Vector Quantization)	-	-
AEMI	Array VideoONE MPEG1-I Capture	Array Microsystems	http://www.array.com/
AFLC	Autodesk Animator codec	Autodesk	http://www.autodesk.com/
AFLI	Autodesk Animator codec	Autodesk	http://www.autodesk.com/
AHDV	CineForm 10-bit Visually Perfect HD (Wavelet)	-	-
AJPG	22fps JPEG-based codec for digital cameras	-	-
ALAC	Apple lossless audio	Apple	http://www.apple.com
ALPH	Not specified.	Ziracom Digital Communications Inc.	-
AMPG	Array VideoONE MPEG	Array Microsystems	http://www.array.com/
AMR 	AMR Speech Codec	3GPP.org	-
ANIM	Intel RDX	Intel	-
AP41	AngelPotion Definitive	AngelPotion	-
AP42	AngelPotion Definitive (hack MS MP43)	AngelPotion	-
ASLC	AlparySoft Lossless Codec	-	-
ASV1	Asus Video	Asus	-
ASV2	Asus Video (2)	Asus	-
ASVX	Asus Video 2.0	Asus	-
ATM4	Ahead Nero Digital MPEG-4 Codec	-	-
AUR2	AuraVision Aura 2: YUV 422	AuraVision Corporation	-
AURA	AuraVision Aura 1: YUV 411	AuraVision Corporation	-
AUVX	AUVX video codec.	USH GmbH	-
AV1X	Avid 1:1x (Quick Time)	Avid Technology, Inc	http://www.avid.com/
AVC1	H.264/MPEG-4 AVC	ITU-T/ISO/IEC 	-
AVD1	Avid DV (Quick Time)	Avid Technology, Inc	http://www.avid.com/
AVDJ	Independent JPEG Group's codec	?	-
AVDN	Avid DNxHD (Quick Time)	Avid Technology, Inc	http://www.avid.com/
AVDV	Avid DV	Avid Technology, Inc	http://www.avid.com/
AVI1	MainConcept Motion JPEG Codec	-	-
AVI2	MainConcept Motion JPEG Codec	-	-
AVID	Avid Motion JPEG	Avid Technology, Inc	http://www.avid.com/
AVIS	Wrapper for AviSynth (Dummy codec)	-	-
AVMP	Avid IMX (Quick Time)	Avid Technology, Inc	http://www.avid.com/
AVR 	Avid ABVB/NuVista MJPEG w/alpha	Avid Technology, Inc	http://www.avid.com/
AVRN	Independent JPEG Group's codec	?	-
AVUI	Avid Meridien Uncompressed w/alpha	Avid Technology, Inc	http://www.avid.com/
AVUP	Avid 10bit Packed (Quick Time)	Avid Technology, Inc	http://www.avid.com/
AYUV	4:4:4 YUV format	*No codec needed	-
AZPR	Apple QuickTime	Apple	http://www.apple.com
AZRP	Apple QuickTime	Apple	http://www.apple.com
BGR 	Raw RGB32	* No codec needed	-
BHIV	BeHere iVideo	-	-
BINK	Bink Video	RAD Game Tools	-
BIT 	BI_BITFIELDS (Raw RGB)	-	-
BITM	Microsoft H.261	Microsoft	http://www.microsoft.com
BLOX	Jan Jezabek BLOX MPEG Codec	-	-
BLZ0	MPEG-4	Blizzard Entertainment 	http://www.blizzard.com/
BT20	Prosumer Video	Conexant	-
BTCV	Composite Video Codec	Conexant	-
BTVC	Conexant Composite Video	Conexant	-
BW00	BergWave (Wavelet)	-	-
BW10	Broadway MPEG Capture/Compression	Data Translation	-
BXBG	BOXX BGR	-	-
BXRG	BOXX RGB	-	-
BXY2	BOXX 10-bit YUV	-	-
BXYV	BOXX YUV	-	-
CC12	YUV12 Codec	Intel	-
CDV5	Canopus SD50/DVHD	-	-
CDVC	Canopus DV Codec	Canopus	-
CDVH	Canopus SD50/DVHD	-	-
CFCC	DPS Perception	Digital Processing Systems	-
CFHD	CineForm 10-bit Visually Perfect HD (Wavelet)	-	-
CGDI	Camcorder Video	Microsoft	http://www.microsoft.com
CHAM	MM_WINNOV_CAVIARA_CHAMPAGNE	Winnov, Inc.	-
CJPG	WebCam JPEG	Creative Labs	-
CLJR	Cirrus Logic YUV 4:1:1	Cirrus	-
CLLC	Canopus LossLess	-	-
CLPL	Format similar to YV12 but including a level of indirection.	-	-
CM10	MediaShow 1.0.	CyberLink Corporation	-
CMYK	Common Data Format in Printing	Colorgraph (UK)	-
COL0	FFmpeg DivX ;-) (MS MPEG-4 v3)	-	-
COL1	FFmpeg DivX ;-) (MS MPEG-4 v3)	-	-
CPLA	YUV 4:2:0	Weitek	-
CRAM	Microsoft Video 1	Microsoft	http://www.microsoft.com
CSCD	RenderSoft CamStudio lossless Codec (LZO & GZIP compression)	-	-
CT10	TalkingShow 1.0.	CyberLink Corporation	-
CTRX	Citrix Scalable Video Codec	-	-
CUVC	Canopus HQ	-	-
CVID	Cinepak by Supermac	Supermac	-
CWLT	Microsoft Color WLT DIB	Microsoft	http://www.microsoft.com
CYUV	Creative Labs YUV	Creative Labs, Inc.	http://www.creative.com/
CYUY	ATI Proprietary YUV compression	ATI Technologies	http://ati.amd.com/
D261	H.261	ITU-T	-
D263	H.263	ITU-T	-
DAVC	Dicas MPEGable H.264/MPEG-4 AVC base profile codec	-	-
DC25	MainConcept ProDV Codec	-	-
DCAP	Pinnacle DV25 Codec	-	-
DCL1	Data Connection Conferencing Codec	-	-
DCT0	WniWni Codec	-	-
DFSC	DebugMode FrameServer VFW Codec	-	-
DIB 	Device Independent Bitmap	* No codec needed	-
DIV1	Microsoft MPEG-4 v1	Microsoft	http://www.microsoft.com
DIV2	Microsoft MPEG-4 v2	Microsoft	http://www.microsoft.com
DIV3	DivX 3 Low-Motion	DivX	-
DIV4	DivX 3 Fast-Motion	DivX	-
DIV5	DivX 5.x/6.x	divx.com	-
DIV6	DivX ;-) (MS MPEG-4 v3)	?	-
DIVX	DivX 4 (OpenDivX)	Project Mayo	-
DJPG	Broadway 101 Motion JPEG codec.	Data Translation, Inc.	-
DM4V	Dicas MPEGable MPEG-4	-	-
DMB1	Matrox MJPG for RainbowRunner	Matrox	-
DMB2	Matrox MJPG for RainbowRunner	Matrox	-
DMK2	ViewSonic V36 PDA Video	-	-
DP02	DynaPel MPEG-4	-	-
DP16	YUV411 with DPCM 6-bit compression.	Matsushita	-
DP18	YUV411 with DPCM 8-bit compression.	Matsushita	-
DP26	YUV422 with DPCM 6-bit compression.	Matsushita	-
DP28	YUV422 with DPCM 8-bit compression.	Matsushita	-
DP96	YVU9 with DPCM 6-bit compression.	Matsushita	-
DP98	YVU9 with DPCM 8-bit compression.	Matsushita	-
DP9L	YVU9 with DPCM 6-bit compression and thinned-out.	Matsushita	-
DPS0	DPS Reality Motion JPEG	DPS/Leitch	-
DPSC	DPS PAR Motion JPEG	DPS/Leitch	-
DRMI	iPod DRM Protected	Apple	http://www.apple.com
DRWX	Pinnacle DV25 Codec	-	-
DSVD	DV Codec	?	-
DTMT	Media-100 Codec	-	-
DTNT	Media-100 Codec	-	-
DUCK	TrueMotion S	Duck Corporation	-
DV10	BlueFish444 (lossless RGBA, YUV 10-bit)	-	-
DV25	Matrox DVCPRO codec	Matrox	-
DV50	Matrox DVCPRO50 codec	Matrox	-
DVAN	Pinnacle miroVideo DV300 SW codec	Pinnacle / Avid	http://www.pinnaclesys.com/
DVC 	DVC/DV Video	IEC 61834 and SMPTE 314M	-
DVCP	DVC/DV Video	IEC 61834 and SMPTE 314M	-
DVCS	MainConcept DV Codec	-	-
DVE2	DVE-2 Videoconferencing Codec	InSoft	-
DVH1	Pinnacle DVHD100	-	-
DVHD	DV 1125 lines at 30.00 Hz or 1250 lines at 25.00 Hz	IEC Standard	-
DVIS	VSYNC DualMoon Iris DV codec	-	-
DVL 	Radius SoftDV 16:9 NTSC	Radius / Cinepak	http://www.cinepak.com/
DVLP	Radius SoftDV 16:9 PAL	Radius / Cinepak	http://www.cinepak.com/
DVMA	Darim Vision DVMPEG (dummy for MPEG compressor)	Darim Vision Co., Ltd.	http://www.darvision.com/
DVNM	Not specified.	Matsushita	-
